,adexchange_1,adexchange_2,adexchange_3,adexchange_4,adexchange_null,advertiser,browser_chrome,browser_firefox,browser_ie,browser_maxthon,browser_opera,browser_other,browser_safari,browser_theworld,city,hour,os_android,os_ios,os_linux,os_mac,os_other,os_windows,region,slotformat_0,slotformat_1,slotformat_5,slotformat_Na,slotheight,slotprice,slotvisibility_0,slotvisibility_1,slotvisibility_2,slotvisibility_255,slotvisibility_FifthView,slotvisibility_FirstView,slotvisibility_FourthView,slotvisibility_Na,slotvisibility_OtherView,slotvisibility_SecondView,slotvisibility_ThirdView,slotwidth,weekday
1442,0,0,1,0,0,1458,0,0,1,0,0,0,0,0,91,5,0,0,0,0,0,1,80,1,0,0,0,250,80,1,0,0,0,0,0,0,0,0,0,0,300,4
1508,0,0,0,1,0,2821,1,0,0,0,0,0,0,0,142,20,0,0,0,0,0,1,134,0,0,0,1,90,30,0,0,0,0,0,1,0,0,0,0,0,960,0
1531,0,0,1,0,0,3386,0,0,1,0,0,0,0,0,57,17,0,0,0,0,0,1,55,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,4
1538,1,0,0,0,0,3476,1,0,0,0,0,0,0,0,334,17,0,0,0,0,0,1,333,0,1,0,0,250,0,0,0,1,0,0,0,0,0,0,0,0,300,0
1559,0,0,1,0,0,1458,0,0,1,0,0,0,0,0,56,11,0,0,0,0,0,1,55,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,4
1589,0,1,0,0,0,3386,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,1,0,1,0,0,0,600,5,0,0,1,0,0,0,0,0,0,0,0,120,1
1590,0,1,0,0,0,3358,0,0,1,0,0,0,0,0,129,10,0,0,0,0,0,1,124,1,0,0,0,600,5,0,0,1,0,0,0,0,0,0,0,0,160,1
1609,0,1,0,0,0,3476,1,0,0,0,0,0,0,0,106,10,0,0,0,0,0,1,106,1,0,0,0,250,16,1,0,0,0,0,0,0,0,0,0,0,250,1
1714,0,0,1,0,0,1458,1,0,0,0,0,0,0,0,186,13,0,0,0,0,0,1,183,1,0,0,0,250,80,1,0,0,0,0,0,0,0,0,0,0,300,0
1736,1,0,0,0,0,3358,0,0,0,0,0,0,1,0,79,0,0,0,0,1,0,0,79,0,1,0,0,90,0,1,0,0,0,0,0,0,0,0,0,0,728,5
1855,0,1,0,0,0,1458,0,0,1,0,0,0,0,0,117,22,0,0,0,0,0,1,106,1,0,0,0,90,5,0,0,1,0,0,0,0,0,0,0,0,728,3
1923,1,0,0,0,0,3358,0,0,1,0,0,0,0,0,393,0,0,0,0,0,0,1,393,0,1,0,0,90,0,1,0,0,0,0,0,0,0,0,0,0,950,5
1996,0,0,1,0,0,3358,1,0,0,0,0,0,0,0,2,11,0,0,0,0,0,1,2,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,5
2238,0,1,0,0,0,2261,0,0,1,0,0,0,0,0,145,14,0,0,0,0,0,1,134,0,0,0,1,600,180,0,0,0,0,0,0,0,0,1,0,0,120,5
2411,0,0,0,0,1,2997,0,0,0,0,0,0,1,0,97,16,1,0,0,0,0,0,94,0,0,0,1,50,19,0,0,0,0,0,1,0,0,0,0,0,320,4
2503,0,1,0,0,0,1458,0,0,1,0,0,0,0,0,275,10,0,0,0,0,0,1,275,1,0,0,0,280,5,0,0,1,0,0,0,0,0,0,0,0,336,2
2743,1,0,0,0,0,2259,0,0,1,0,0,0,0,0,230,4,0,0,0,0,0,1,216,0,0,0,1,250,0,0,0,0,0,0,0,1,0,0,0,0,300,1
2790,0,0,1,0,0,1458,0,0,1,0,0,0,0,0,217,13,0,0,0,0,0,1,216,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,6
2814,0,0,0,1,0,2821,0,0,1,0,0,0,0,0,107,13,0,0,0,0,0,1,106,0,0,0,1,90,0,0,0,0,0,0,1,0,0,0,0,0,960,1
2908,0,0,1,0,0,3427,0,0,1,0,0,0,0,0,1,10,0,0,0,0,0,1,1,1,0,0,0,90,50,1,0,0,0,0,0,0,0,0,0,0,960,5
2915,0,0,1,0,0,1458,1,0,0,0,0,0,0,0,1,11,0,0,0,0,0,1,1,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,1
3029,0,0,1,0,0,3358,0,0,1,0,0,0,0,0,48,15,0,0,0,0,0,1,40,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,5
3150,0,1,0,0,0,3427,0,0,1,0,0,0,0,0,275,10,0,0,0,0,0,1,275,1,0,0,0,90,5,0,1,0,0,0,0,0,0,0,0,0,728,0
3186,0,1,0,0,0,1458,0,0,1,0,0,0,0,0,217,21,0,0,0,0,0,1,216,1,0,0,0,600,5,0,0,1,0,0,0,0,0,0,0,0,160,6
3209,0,0,1,0,0,3386,0,0,1,0,0,0,0,0,245,11,0,0,0,0,0,1,238,1,0,0,0,90,50,1,0,0,0,0,0,0,0,0,0,0,960,6
3245,0,0,1,0,0,2259,0,0,1,0,0,0,0,0,233,12,0,0,0,0,0,1,216,0,0,0,1,250,50,0,0,0,0,0,0,0,1,0,0,0,300,6
3305,0,0,0,1,0,2821,0,0,1,0,0,0,0,0,139,22,0,0,0,0,0,1,134,0,0,0,1,250,30,0,0,0,0,0,0,0,0,0,1,0,300,0
3397,0,1,0,0,0,3386,1,0,0,0,0,0,0,0,254,23,0,0,0,0,0,1,253,1,0,0,0,250,5,0,1,0,0,0,0,0,0,0,0,0,300,4
3476,0,0,1,0,0,3386,0,0,1,0,0,0,0,0,56,0,0,0,0,0,0,1,55,1,0,0,0,250,80,1,0,0,0,0,0,0,0,0,0,0,300,0
3489,0,1,0,0,0,1458,0,0,1,0,0,0,0,0,297,23,0,0,0,0,0,1,276,1,0,0,0,250,4,0,0,1,0,0,0,0,0,0,0,0,250,1
3540,0,0,1,0,0,3476,1,0,0,0,0,0,0,0,71,18,0,0,0,0,0,1,65,1,0,0,0,250,50,1,0,0,0,0,0,0,0,0,0,0,300,6
3689,0,0,1,0,0,1458,1,0,0,0,0,0,0,0,147,13,0,0,0,0,0,1,146,1,0,0,0,90,31,1,0,0,0,0,0,0,0,0,0,0,1000,6
3870,0,0,0,0,1,2997,0,0,0,0,0,0,1,0,233,23,1,0,0,0,0,0,216,0,0,0,1,50,6,0,0,0,0,0,1,0,0,0,0,0,320,4
3899,1,0,0,0,0,1458,0,0,1,0,0,0,0,0,96,12,0,0,0,0,0,1,94,0,1,0,0,280,0,0,0,1,0,0,0,0,0,0,0,0,336,3
3998,0,0,1,0,0,2261,1,0,0,0,0,0,0,0,101,1,0,0,0,0,0,1,94,0,0,0,1,90,50,0,0,0,0,0,0,0,1,0,0,0,1000,5
4022,0,0,1,0,0,1458,0,0,1,0,0,0,0,0,56,10,0,0,0,0,0,1,55,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,6
4114,1,0,0,0,0,3358,1,0,0,0,0,0,0,0,393,0,0,0,0,0,0,1,393,0,1,0,0,250,0,0,1,0,0,0,0,0,0,0,0,0,300,4
4120,0,1,0,0,0,3476,1,0,0,0,0,0,0,0,217,0,0,0,0,0,0,1,216,1,0,0,0,280,16,0,0,1,0,0,0,0,0,0,0,0,336,4
4152,0,0,1,0,0,3386,1,0,0,0,0,0,0,0,292,0,0,0,0,0,0,1,276,1,0,0,0,90,20,1,0,0,0,0,0,0,0,0,0,0,728,4
4175,1,0,0,0,0,1458,0,0,1,0,0,0,0,0,233,11,0,0,0,0,0,1,216,0,1,0,0,280,0,0,0,1,0,0,0,0,0,0,0,0,336,5
4210,0,0,1,0,0,1458,0,0,1,0,0,0,0,0,16,21,0,0,0,0,0,1,15,1,0,0,0,250,31,1,0,0,0,0,0,0,0,0,0,0,300,3
4361,0,0,1,0,0,3386,0,0,1,0,0,0,0,0,97,17,0,0,0,0,0,1,94,1,0,0,0,250,50,1,0,0,0,0,0,0,0,0,0,0,300,6
4391,0,1,0,0,0,1458,0,0,1,0,0,0,0,0,225,20,0,0,0,0,0,1,216,1,0,0,0,250,16,1,0,0,0,0,0,0,0,0,0,0,250,1
4417,1,0,0,0,0,3386,1,0,0,0,0,0,0,0,77,10,0,0,0,0,0,1,65,0,1,0,0,250,0,1,0,0,0,0,0,0,0,0,0,0,300,6
4448,0,0,1,0,0,3427,0,0,1,0,0,0,0,0,84,18,0,0,0,0,0,1,80,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,3
4457,0,1,0,0,0,3358,0,0,1,0,0,0,0,0,277,19,0,0,0,0,0,1,276,1,0,0,0,250,5,0,0,1,0,0,0,0,0,0,0,0,300,1
4526,1,0,0,0,0,2261,1,0,0,0,0,0,0,0,393,14,0,0,0,0,0,1,393,0,0,0,1,90,0,0,0,0,0,0,0,0,1,0,0,0,950,5
4558,0,1,0,0,0,3427,1,0,0,0,0,0,0,0,381,0,0,0,0,0,0,1,374,1,0,0,0,90,81,1,0,0,0,0,0,0,0,0,0,0,728,0
4586,1,0,0,0,0,3386,0,0,1,0,0,0,0,0,227,14,0,0,0,0,0,1,216,0,1,0,0,250,0,0,1,0,0,0,0,0,0,0,0,0,300,5
4667,0,0,1,0,0,3427,0,0,1,0,0,0,0,0,282,10,0,0,0,0,0,1,276,1,0,0,0,90,80,1,0,0,0,0,0,0,0,0,0,0,1000,3
4714,0,1,0,0,0,3386,0,0,1,0,0,0,0,0,1,9,0,0,0,0,0,1,1,1,0,0,0,250,5,0,0,1,0,0,0,0,0,0,0,0,250,4
4737,0,1,0,0,0,3427,0,0,1,0,0,0,0,0,282,11,0,0,0,0,0,1,276,1,0,0,0,600,5,1,0,0,0,0,0,0,0,0,0,0,160,1
4856,1,0,0,0,0,3358,0,0,1,0,0,0,0,0,83,22,0,0,0,0,0,1,80,0,1,0,0,250,0,0,1,0,0,0,0,0,0,0,0,0,300,3
4871,1,0,0,0,0,2259,0,0,1,0,0,0,0,0,220,14,0,0,0,0,0,1,216,0,0,0,1,200,0,0,0,0,0,0,0,0,0,0,1,0,200,6
4890,1,0,0,0,0,3476,0,0,1,0,0,0,0,0,79,12,0,0,0,0,0,1,79,0,1,0,0,250,0,0,0,1,0,0,0,0,0,0,0,0,300,0
4892,0,1,0,0,0,1458,1,0,0,0,0,0,0,0,96,11,0,0,0,0,0,1,94,1,0,0,0,250,5,0,1,0,0,0,0,0,0,0,0,0,250,1
4949,1,0,0,0,0,1458,0,0,1,0,0,0,0,0,228,22,0,0,0,0,0,1,216,0,1,0,0,280,0,1,0,0,0,0,0,0,0,0,0,0,336,2
5004,0,0,1,0,0,3427,1,0,0,0,0,0,0,0,5,16,0,0,0,0,0,1,3,1,0,0,0,90,50,1,0,0,0,0,0,0,0,0,0,0,1000,6
5024,1,0,0,0,0,1458,0,0,1,0,0,0,0,0,126,20,0,0,0,0,0,1,124,0,1,0,0,280,0,1,0,0,0,0,0,0,0,0,0,0,336,3
5037,0,1,0,0,0,2821,0,0,1,0,0,0,0,0,275,23,0,0,0,0,0,1,275,0,0,0,1,90,5,0,0,0,0,0,0,0,0,1,0,0,728,0
5114,0,0,1,0,0,1458,0,0,1,0,0,0,0,0,341,18,0,0,0,0,0,1,333,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,4
5284,0,0,1,0,0,3427,1,0,0,0,0,0,0,0,1,17,0,0,0,0,0,1,1,1,0,0,0,90,31,1,0,0,0,0,0,0,0,0,0,0,1000,6
5322,1,0,0,0,0,3358,1,0,0,0,0,0,0,0,228,22,0,0,0,0,0,1,216,0,1,0,0,90,0,1,0,0,0,0,0,0,0,0,0,0,950,3
5363,0,1,0,0,0,3427,0,0,1,0,0,0,0,0,82,20,0,0,0,0,0,1,80,1,0,0,0,280,5,0,0,1,0,0,0,0,0,0,0,0,336,4
5418,1,0,0,0,0,3358,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,280,0,0,0,0,1,0,0,0,0,0,0,0,336,5
5512,0,0,1,0,0,3427,1,0,0,0,0,0,0,0,147,16,0,0,0,0,0,1,146,1,0,0,0,90,50,1,0,0,0,0,0,0,0,0,0,0,1000,0
5585,1,0,0,0,0,3358,0,0,1,0,0,0,0,0,1,19,0,0,0,0,0,1,1,0,1,0,0,250,0,1,0,0,0,0,0,0,0,0,0,0,300,1
5602,0,0,0,1,0,2821,1,0,0,0,0,0,0,0,156,21,0,0,0,0,0,1,146,0,0,0,1,90,0,0,0,0,0,0,1,0,0,0,0,0,960,0
5660,1,0,0,0,0,2259,1,0,0,0,0,0,0,0,228,12,0,0,0,0,0,1,216,0,0,0,1,250,0,0,0,0,0,0,0,0,0,0,0,1,300,5
5673,1,0,0,0,0,3386,0,0,1,0,0,0,0,0,130,18,0,0,0,0,0,1,124,0,1,0,0,250,0,0,0,1,0,0,0,0,0,0,0,0,300,1
5683,0,0,1,0,0,1458,0,0,1,0,0,0,0,0,275,18,0,0,0,0,0,1,275,1,0,0,0,250,50,1,0,0,0,0,0,0,0,0,0,0,300,0
5797,0,1,0,0,0,3427,1,0,0,0,0,0,0,0,79,21,0,0,0,0,0,1,79,1,0,0,0,250,5,0,0,1,0,0,0,0,0,0,0,0,250,5
6179,0,0,0,1,0,2821,1,0,0,0,0,0,0,0,56,22,0,0,0,0,0,1,55,0,0,0,1,250,30,0,0,0,0,0,0,0,0,0,1,0,300,0
6218,0,1,0,0,0,1458,0,0,1,0,0,0,0,0,219,23,0,0,0,0,0,1,216,1,0,0,0,90,5,0,0,1,0,0,0,0,0,0,0,0,728,1
6236,0,0,1,0,0,3386,0,0,1,0,0,0,0,0,243,18,0,0,0,0,0,1,238,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,4
6258,1,0,0,0,0,3358,0,0,1,0,0,0,0,0,125,22,0,0,0,0,0,1,124,0,0,1,0,250,0,0,1,0,0,0,0,0,0,0,0,0,300,3
6347,1,0,0,0,0,2259,0,0,1,0,0,0,0,0,233,4,0,0,0,0,0,1,216,0,0,0,1,250,0,0,0,0,0,0,0,1,0,0,0,0,300,5
6454,0,1,0,0,0,3427,1,0,0,0,0,0,0,0,79,8,0,0,0,0,0,1,79,1,0,0,0,250,4,1,0,0,0,0,0,0,0,0,0,0,300,0
6473,0,0,0,1,0,2821,0,0,1,0,0,0,0,0,277,18,0,0,0,0,0,1,276,0,0,0,1,90,30,0,0,0,0,0,1,0,0,0,0,0,960,0
6486,0,1,0,0,0,2261,1,0,0,0,0,0,0,0,2,16,0,0,0,0,0,1,2,0,0,0,1,200,5,0,0,0,0,0,0,0,0,1,0,0,200,5
6516,1,0,0,0,0,3386,0,0,1,0,0,0,0,0,104,0,0,0,0,0,0,1,94,0,1,0,0,280,0,1,0,0,0,0,0,0,0,0,0,0,336,2
6573,1,0,0,0,0,3476,1,0,0,0,0,0,0,0,286,21,0,0,0,0,0,1,276,0,1,0,0,250,0,0,0,1,0,0,0,0,0,0,0,0,300,0
6623,0,0,1,0,0,2821,1,0,0,0,0,0,0,0,278,18,0,0,0,0,0,1,276,0,0,0,1,250,50,0,0,0,0,0,0,0,1,0,0,0,300,1
6710,0,0,1,0,0,3476,1,0,0,0,0,0,0,0,217,0,0,0,0,0,0,1,216,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,4
6746,0,1,0,0,0,3476,0,0,1,0,0,0,0,0,284,16,0,0,0,0,0,1,276,1,0,0,0,280,5,0,0,1,0,0,0,0,0,0,0,0,336,2
6910,0,1,0,0,0,3386,0,0,1,0,0,0,0,0,192,1,0,0,0,0,0,1,183,1,0,0,0,200,5,0,1,0,0,0,0,0,0,0,0,0,200,4
7031,0,1,0,0,0,3358,0,1,0,0,0,0,0,0,90,0,0,0,0,0,0,1,80,1,0,0,0,280,5,0,0,1,0,0,0,0,0,0,0,0,336,1
7035,0,0,1,0,0,3386,0,0,1,0,0,0,0,0,1,23,0,0,0,0,0,1,1,1,0,0,0,90,20,1,0,0,0,0,0,0,0,0,0,0,728,1
7066,0,0,1,0,0,3427,0,0,1,0,0,0,0,0,217,7,0,0,0,0,0,1,216,1,0,0,0,90,80,1,0,0,0,0,0,0,0,0,0,0,1000,4
7163,0,0,1,0,0,2259,1,0,0,0,0,0,0,0,217,0,0,0,0,0,0,1,216,0,0,0,1,90,40,0,0,0,0,0,0,0,1,0,0,0,960,0
7209,0,0,1,0,0,3476,0,0,1,0,0,0,0,0,1,15,0,0,0,0,0,1,1,1,0,0,0,90,80,1,0,0,0,0,0,0,0,0,0,0,1000,4
7345,0,1,0,0,0,2261,0,0,1,0,0,0,0,0,104,0,0,0,0,0,0,1,94,0,0,0,1,240,5,0,0,0,0,0,0,0,0,1,0,0,120,5
7351,0,1,0,0,0,3476,0,0,1,0,0,0,0,0,282,11,0,0,0,0,0,1,276,1,0,0,0,280,5,0,0,1,0,0,0,0,0,0,0,0,336,2
7393,0,1,0,0,0,3386,0,0,1,0,0,0,0,0,42,10,0,0,0,0,0,1,40,1,0,0,0,250,8,1,0,0,0,0,0,0,0,0,0,0,300,6
7509,1,0,0,0,0,2261,0,0,1,0,0,0,0,0,72,0,0,0,0,0,0,1,65,0,0,0,1,280,0,0,0,0,0,0,1,0,0,0,0,0,336,4
7530,1,0,0,0,0,1458,0,0,1,0,0,0,0,0,76,0,0,0,0,0,0,1,65,0,1,0,0,600,0,0,1,0,0,0,0,0,0,0,0,0,160,2
7567,0,0,1,0,0,3476,0,0,1,0,0,0,0,0,179,12,0,0,0,0,0,1,164,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,2
7698,0,0,0,0,1,2997,0,0,0,0,0,0,1,0,300,17,1,0,0,0,0,0,298,0,0,0,1,50,6,0,0,0,0,0,1,0,0,0,0,0,320,3
7705,0,1,0,0,0,2261,0,0,1,0,0,0,0,0,219,6,0,0,0,0,0,1,216,0,0,0,1,250,63,0,0,0,0,0,0,0,0,1,0,0,250,4
7716,0,1,0,0,0,2261,0,0,1,0,0,0,0,0,177,15,0,0,0,0,0,1,164,0,0,0,1,250,5,0,0,0,0,0,1,0,0,0,0,0,300,4
7809,0,0,1,0,0,1458,0,0,1,0,0,0,0,0,28,6,0,0,0,0,0,1,27,1,0,0,0,90,20,1,0,0,0,0,0,0,0,0,0,0,960,2
7812,1,0,0,0,0,3427,1,0,0,0,0,0,0,0,12,10,0,0,0,0,0,1,3,0,1,0,0,90,0,0,0,1,0,0,0,0,0,0,0,0,950,1
7904,0,0,1,0,0,1458,0,0,1,0,0,0,0,0,386,15,0,0,0,0,0,1,374,1,0,0,0,250,50,1,0,0,0,0,0,0,0,0,0,0,300,0
7945,0,0,0,1,0,2821,1,0,0,0,0,0,0,0,1,19,0,0,0,0,0,1,1,0,0,0,1,90,30,0,0,0,0,0,1,0,0,0,0,0,960,0
8020,1,0,0,0,0,1458,0,0,1,0,0,0,0,0,159,13,0,0,0,0,0,1,146,0,1,0,0,600,0,0,0,1,0,0,0,0,0,0,0,0,160,1
8022,1,0,0,0,0,3358,0,0,1,0,0,0,0,0,231,0,0,0,0,0,0,1,216,0,1,0,0,600,0,0,0,1,0,0,0,0,0,0,0,0,160,4
8065,0,1,0,0,0,3386,0,0,1,0,0,0,0,0,332,5,0,0,0,0,0,1,325,1,0,0,0,250,5,0,0,1,0,0,0,0,0,0,0,0,300,0
8088,0,0,1,0,0,2821,0,0,1,0,0,0,0,0,245,12,0,0,0,0,0,1,238,0,0,0,1,250,80,0,0,0,0,0,0,0,1,0,0,0,300,1
8128,0,0,1,0,0,3386,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,3,1,0,0,0,90,80,1,0,0,0,0,0,0,0,0,0,0,1000,6
8144,0,0,1,0,0,1458,0,0,1,0,0,0,0,0,217,2,0,0,0,0,0,1,216,1,0,0,0,250,50,1,0,0,0,0,0,0,0,0,0,0,300,2
8153,0,0,1,0,0,1458,0,0,1,0,0,0,0,0,71,22,0,0,0,0,0,1,65,1,0,0,0,90,80,1,0,0,0,0,0,0,0,0,0,0,1000,3
8176,0,1,0,0,0,3358,1,0,0,0,0,0,0,0,156,13,0,0,0,0,0,1,146,1,0,0,0,90,5,0,0,1,0,0,0,0,0,0,0,0,728,2
8216,1,0,0,0,0,3386,1,0,0,0,0,0,0,0,217,12,0,0,0,0,0,1,216,0,1,0,0,250,0,1,0,0,0,0,0,0,0,0,0,0,300,4
8266,0,1,0,0,0,3427,1,0,0,0,0,0,0,0,79,8,0,0,0,0,0,1,79,1,0,0,0,90,5,0,1,0,0,0,0,0,0,0,0,0,728,6
8351,0,1,0,0,0,3358,0,0,1,0,0,0,0,0,223,1,0,0,0,0,0,1,216,1,0,0,0,200,16,1,0,0,0,0,0,0,0,0,0,0,200,5
8415,0,0,0,0,1,2997,0,0,0,0,0,0,1,0,184,16,1,0,0,0,0,0,183,0,0,0,1,50,102,0,0,0,0,0,1,0,0,0,0,0,320,4
8424,0,0,1,0,0,3427,0,0,1,0,0,0,0,0,130,3,0,0,0,0,0,1,124,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,4
8474,1,0,0,0,0,2261,0,0,1,0,0,0,0,0,101,6,0,0,0,0,0,1,94,0,0,0,1,250,0,0,0,0,0,0,0,0,1,0,0,0,300,4
8565,1,0,0,0,0,2261,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,1,250,0,0,0,0,0,0,0,0,1,0,0,0,300,5
8583,1,0,0,0,0,1458,0,0,1,0,0,0,0,0,342,17,0,0,0,0,0,1,333,0,1,0,0,280,0,1,0,0,0,0,0,0,0,0,0,0,336,5
8599,1,0,0,0,0,3476,0,0,1,0,0,0,0,0,167,14,0,0,0,0,0,1,164,0,1,0,0,250,0,0,1,0,0,0,0,0,0,0,0,0,300,1
8638,1,0,0,0,0,3358,0,0,0,0,0,0,0,1,280,10,0,0,0,0,0,1,276,0,1,0,0,250,0,1,0,0,0,0,0,0,0,0,0,0,300,1
8681,0,1,0,0,0,2821,0,0,1,0,0,0,0,0,184,0,0,0,0,0,0,1,183,0,0,0,1,90,5,0,0,0,0,0,0,0,0,1,0,0,728,1
8796,0,1,0,0,0,1458,0,0,1,0,0,0,0,0,171,10,0,0,0,0,0,1,164,1,0,0,0,90,59,1,0,0,0,0,0,0,0,0,0,0,728,1
8839,0,1,0,0,0,3427,0,0,1,0,0,0,0,0,180,8,0,0,0,0,0,1,164,1,0,0,0,250,5,0,0,1,0,0,0,0,0,0,0,0,300,4
8878,1,0,0,0,0,3386,0,0,0,0,0,0,1,0,202,0,1,0,0,0,0,0,201,0,0,1,0,250,0,0,1,0,0,0,0,0,0,0,0,0,300,5
