adexchange_1,adexchange_2,adexchange_3,adexchange_4,adexchange_null,advertiser,browser_chrome,browser_firefox,browser_ie,browser_maxthon,browser_opera,browser_other,browser_safari,browser_theworld,city,click,hour,os_android,os_ios,os_linux,os_mac,os_other,os_windows,region,slotformat_0,slotformat_1,slotformat_5,slotformat_Na,slotheight,slotprice,slotvisibility_0,slotvisibility_1,slotvisibility_2,slotvisibility_255,slotvisibility_FifthView,slotvisibility_FirstView,slotvisibility_FourthView,slotvisibility_Na,slotvisibility_OtherView,slotvisibility_SecondView,slotvisibility_ThirdView,slotwidth,weekday
1,0,0,0,0,3358,1,0,0,0,0,0,0,0,41,0,13,0,0,0,0,0,1,40,0,1,0,0,250,0,0,0,1,0,0,0,0,0,0,0,0,300,5
1,0,0,0,0,3358,0,0,1,0,0,0,0,0,1,0,22,0,0,0,0,0,1,1,0,1,0,0,250,0,0,0,1,0,0,0,0,0,0,0,0,300,3
1,0,0,0,0,2821,0,0,1,0,0,0,0,0,15,0,20,0,0,0,0,0,1,15,0,0,0,1,250,0,0,0,0,0,0,1,0,0,0,0,0,300,0
1,0,0,0,0,3476,0,0,1,0,0,0,0,0,150,0,17,0,0,0,0,0,1,146,0,1,0,0,280,0,0,0,1,0,0,0,0,0,0,0,0,336,6
0,1,0,0,0,3427,1,0,0,0,0,0,0,0,90,0,22,0,0,0,0,0,1,80,1,0,0,0,600,140,1,0,0,0,0,0,0,0,0,0,0,160,2
0,1,0,0,0,3386,0,0,1,0,0,0,0,0,98,0,23,0,0,0,0,0,1,94,1,0,0,0,90,67,1,0,0,0,0,0,0,0,0,0,0,728,5
0,1,0,0,0,3386,0,0,1,0,0,0,0,0,275,0,17,0,0,0,0,0,1,275,1,0,0,0,60,5,0,0,1,0,0,0,0,0,0,0,0,468,0
1,0,0,0,0,2259,1,0,0,0,0,0,0,0,227,0,9,0,0,0,0,0,1,216,0,0,0,1,280,0,0,0,0,0,0,0,0,0,0,0,1,336,6
1,0,0,0,0,1458,0,0,1,0,0,0,0,0,232,0,13,0,0,0,0,0,1,216,0,1,0,0,600,0,0,0,1,0,0,0,0,0,0,0,0,160,0
1,0,0,0,0,1458,1,0,0,0,0,0,0,0,56,0,2,0,0,0,0,0,1,55,0,1,0,0,600,0,0,0,1,0,0,0,0,0,0,0,0,160,4
0,1,0,0,0,3358,0,0,1,0,0,0,0,0,180,0,16,0,0,0,0,0,1,164,1,0,0,0,90,5,0,0,1,0,0,0,0,0,0,0,0,728,1
0,1,0,0,0,3358,0,0,1,0,0,0,0,0,67,0,20,0,0,0,0,0,1,65,1,0,0,0,90,5,0,0,1,0,0,0,0,0,0,0,0,728,0
1,0,0,0,0,3358,0,0,0,0,0,0,1,0,299,0,19,0,0,0,1,0,0,298,0,1,0,0,90,0,0,1,0,0,0,0,0,0,0,0,0,950,6
0,0,1,0,0,1458,1,0,0,0,0,0,0,0,67,0,19,0,0,0,0,0,1,65,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,5
0,0,1,0,0,3386,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,0,0,0,250,50,1,0,0,0,0,0,0,0,0,0,0,300,6
0,1,0,0,0,2259,0,0,1,0,0,0,0,0,223,0,12,0,0,0,0,0,1,216,0,0,0,1,90,221,0,0,0,0,0,0,0,0,1,0,0,728,6
1,0,0,0,0,1458,0,0,0,0,0,0,1,0,92,0,17,0,0,0,1,0,0,80,0,1,0,0,600,0,0,1,0,0,0,0,0,0,0,0,0,160,3
0,0,1,0,0,3427,0,0,1,0,0,0,0,0,206,0,3,0,0,0,0,0,1,201,1,0,0,0,90,80,1,0,0,0,0,0,0,0,0,0,0,1000,4
0,1,0,0,0,3476,0,1,0,0,0,0,0,0,107,0,20,0,0,0,0,0,1,106,1,0,0,0,600,5,0,0,1,0,0,0,0,0,0,0,0,120,0
1,0,0,0,0,3358,1,0,0,0,0,0,0,0,157,0,6,0,0,0,0,0,1,146,0,1,0,0,250,0,1,0,0,0,0,0,0,0,0,0,0,300,6
0,0,1,0,0,3386,1,0,0,0,0,0,0,0,177,0,10,0,0,0,0,0,1,164,1,0,0,0,90,50,1,0,0,0,0,0,0,0,0,0,0,1000,4
0,1,0,0,0,3427,0,0,1,0,0,0,0,0,147,0,20,0,0,0,0,0,1,146,1,0,0,0,90,177,1,0,0,0,0,0,0,0,0,0,0,728,3
0,1,0,0,0,1458,0,0,1,0,0,0,0,0,170,0,19,0,0,0,0,0,1,164,1,0,0,0,250,5,0,0,1,0,0,0,0,0,0,0,0,250,3
0,1,0,0,0,3386,1,0,0,0,0,0,0,0,81,0,11,0,0,0,0,0,1,80,1,0,0,0,600,5,0,0,1,0,0,0,0,0,0,0,0,160,1
1,0,0,0,0,3427,1,0,0,0,0,0,0,0,300,0,1,0,0,0,0,0,1,298,0,1,0,0,90,0,0,1,0,0,0,0,0,0,0,0,0,950,4
0,0,1,0,0,3386,1,0,0,0,0,0,0,0,277,0,19,0,0,0,0,0,1,276,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,4
0,1,0,0,0,3427,1,0,0,0,0,0,0,0,181,0,18,0,0,0,0,0,1,164,1,0,0,0,250,111,1,0,0,0,0,0,0,0,0,0,0,300,5
1,0,0,0,0,2261,0,0,1,0,0,0,0,0,152,0,16,0,0,0,0,0,1,146,0,0,0,1,90,0,0,0,0,0,0,0,0,1,0,0,0,728,3
0,0,1,0,0,3386,1,0,0,0,0,0,0,0,80,0,23,0,0,0,0,0,1,80,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,4
0,1,0,0,0,3476,0,0,1,0,0,0,0,0,2,0,8,0,0,0,0,0,1,2,1,0,0,0,90,5,0,0,1,0,0,0,0,0,0,0,0,728,6
0,1,0,0,0,2261,0,0,1,0,0,0,0,0,250,0,11,0,0,0,0,0,1,238,0,0,0,1,90,133,0,0,0,0,0,0,0,0,1,0,0,728,4
0,0,0,1,0,2821,0,0,1,0,0,0,0,0,160,0,4,0,0,0,0,0,1,146,0,0,0,1,250,30,0,0,0,0,0,0,0,0,0,1,0,300,1
0,1,0,0,0,3358,1,0,0,0,0,0,0,0,202,0,15,0,0,0,0,0,1,201,1,0,0,0,250,5,0,0,1,0,0,0,0,0,0,0,0,300,6
1,0,0,0,0,1458,0,0,1,0,0,0,0,0,16,0,3,0,0,0,0,0,1,15,0,1,0,0,280,0,0,0,1,0,0,0,0,0,0,0,0,336,5
0,1,0,0,0,3476,1,0,0,0,0,0,0,0,148,0,18,0,0,0,0,0,1,146,1,0,0,0,250,5,0,1,0,0,0,0,0,0,0,0,0,300,4
0,1,0,0,0,3476,1,0,0,0,0,0,0,0,277,0,10,0,0,0,0,0,1,276,1,0,0,0,250,39,1,0,0,0,0,0,0,0,0,0,0,300,2
0,1,0,0,0,3358,1,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,1,15,1,0,0,0,250,5,0,1,0,0,0,0,0,0,0,0,0,250,0
0,0,1,0,0,2821,1,0,0,0,0,0,0,0,334,0,21,0,0,0,0,0,1,333,0,0,0,1,90,50,0,0,0,0,0,0,0,1,0,0,0,1000,0
1,0,0,0,0,3358,0,0,1,0,0,0,0,0,202,0,0,0,0,0,0,0,1,201,0,1,0,0,250,0,1,0,0,0,0,0,0,0,0,0,0,300,2
0,1,0,0,0,3427,0,0,1,0,0,0,0,0,275,0,22,0,0,0,0,0,1,275,1,0,0,0,600,4,1,0,0,0,0,0,0,0,0,0,0,120,3
0,0,1,0,0,1458,0,0,1,0,0,0,0,0,202,0,17,0,0,0,0,0,1,201,1,0,0,0,90,80,1,0,0,0,0,0,0,0,0,0,0,1000,2
0,0,1,0,0,2821,1,0,0,0,0,0,0,0,160,0,18,0,0,0,0,0,1,146,0,0,0,1,90,70,0,0,0,0,0,0,0,1,0,0,0,1000,1
0,0,1,0,0,2821,1,0,0,0,0,0,0,0,41,0,13,0,0,0,0,0,1,40,0,0,0,1,90,50,0,0,0,0,0,0,0,1,0,0,0,1000,1
0,1,0,0,0,3358,0,0,1,0,0,0,0,0,217,0,12,0,0,0,0,0,1,216,1,0,0,0,90,5,0,0,1,0,0,0,0,0,0,0,0,728,6
1,0,0,0,0,2821,1,0,0,0,0,0,0,0,202,0,22,0,0,0,0,0,1,201,0,0,0,1,280,0,0,0,0,0,0,1,0,0,0,0,0,336,0
1,0,0,0,0,3358,0,0,1,0,0,0,0,0,217,0,0,0,0,0,0,0,1,216,0,1,0,0,280,0,0,0,1,0,0,0,0,0,0,0,0,336,5
1,0,0,0,0,3358,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,90,0,1,0,0,0,0,0,0,0,0,0,0,950,4
0,1,0,0,0,3476,0,0,1,0,0,0,0,0,217,0,20,0,0,0,0,0,1,216,1,0,0,0,90,4,0,0,1,0,0,0,0,0,0,0,0,728,6
1,0,0,0,0,3386,0,0,1,0,0,0,0,0,172,0,18,0,0,0,0,0,1,164,0,1,0,0,250,0,0,1,0,0,0,0,0,0,0,0,0,300,3
1,0,0,0,0,3476,0,0,1,0,0,0,0,0,106,0,22,0,0,0,0,0,1,106,0,1,0,0,250,0,0,0,1,0,0,0,0,0,0,0,0,300,6
0,0,0,1,0,2821,1,0,0,0,0,0,0,0,156,0,19,0,0,0,0,0,1,146,0,0,0,1,250,0,0,0,0,0,0,0,0,0,0,1,0,300,1
0,1,0,0,0,3358,0,0,1,0,0,0,0,0,132,0,22,0,0,0,0,0,1,124,1,0,0,0,250,16,0,1,0,0,0,0,0,0,0,0,0,300,3
1,0,0,0,0,2821,0,0,1,0,0,0,0,0,299,0,22,0,0,0,0,0,1,298,0,0,0,1,250,0,0,0,0,0,0,0,1,0,0,0,0,300,0
0,0,1,0,0,3386,0,0,1,0,0,0,0,0,223,0,0,0,0,0,0,0,1,216,1,0,0,0,90,80,1,0,0,0,0,0,0,0,0,0,0,1000,4
0,0,0,1,0,2821,0,0,1,0,0,0,0,0,173,0,16,0,0,0,0,0,1,164,0,0,0,1,90,30,0,0,0,0,0,1,0,0,0,0,0,960,1
1,0,0,0,0,3476,1,0,0,0,0,0,0,0,51,0,13,0,0,0,0,0,1,40,0,1,0,0,600,0,0,0,1,0,0,0,0,0,0,0,0,160,6
0,0,1,0,0,3358,1,0,0,0,0,0,0,0,81,0,23,0,0,0,0,0,1,80,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,3
0,1,0,0,0,3476,0,0,1,0,0,0,0,0,98,0,0,0,0,0,0,0,1,94,1,0,0,0,600,39,0,0,1,0,0,0,0,0,0,0,0,120,5
0,1,0,0,0,1458,1,0,0,0,0,0,0,0,153,0,7,0,0,0,0,0,1,146,1,0,0,0,600,162,1,0,0,0,0,0,0,0,0,0,0,160,3
0,1,0,0,0,2821,0,0,1,0,0,0,0,0,184,0,18,0,0,0,0,0,1,183,0,0,0,1,280,5,0,0,0,0,0,0,0,0,1,0,0,336,0
1,0,0,0,0,3358,0,0,1,0,0,0,0,0,340,0,0,0,0,0,0,0,1,333,0,1,0,0,600,0,0,0,1,0,0,0,0,0,0,0,0,160,5
1,0,0,0,0,3476,0,0,1,0,0,0,0,0,164,0,21,0,0,0,0,0,1,164,0,1,0,0,280,0,0,0,1,0,0,0,0,0,0,0,0,336,6
0,1,0,0,0,1458,1,0,0,0,0,0,0,0,96,0,11,0,0,0,0,0,1,94,1,0,0,0,250,5,0,1,0,0,0,0,0,0,0,0,0,250,1
0,1,0,0,0,3427,0,0,1,0,0,0,0,0,203,0,11,0,0,0,0,0,1,201,1,0,0,0,90,5,0,0,1,0,0,0,0,0,0,0,0,728,6
1,0,0,0,0,1458,0,0,1,0,0,0,0,0,228,1,22,0,0,0,0,0,1,216,0,1,0,0,280,0,1,0,0,0,0,0,0,0,0,0,0,336,2
0,0,1,0,0,3386,0,0,1,0,0,0,0,0,174,0,20,0,0,0,0,0,1,164,1,0,0,0,90,50,1,0,0,0,0,0,0,0,0,0,0,1000,6
0,1,0,0,0,3358,0,0,1,0,0,0,0,0,156,0,12,0,0,0,0,0,1,146,1,0,0,0,280,5,0,0,1,0,0,0,0,0,0,0,0,336,1
0,0,1,0,0,3427,0,0,1,0,0,0,0,0,23,0,9,0,0,0,0,0,1,15,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,5
1,0,0,0,0,2821,0,0,1,0,0,0,0,0,19,0,20,0,0,0,0,0,1,15,0,0,0,1,90,0,0,0,0,0,0,0,0,1,0,0,0,950,2
0,0,1,0,0,2259,1,0,0,0,0,0,0,0,227,0,7,0,0,0,0,0,1,216,0,0,0,1,90,50,0,0,0,0,0,0,0,1,0,0,0,1000,5
0,0,1,0,0,3386,0,0,1,0,0,0,0,0,52,0,13,0,0,0,0,0,1,40,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,4
0,1,0,0,0,3427,0,0,1,0,0,0,0,0,275,0,15,0,0,0,0,0,1,275,1,0,0,0,200,5,0,0,1,0,0,0,0,0,0,0,0,200,2
0,1,0,0,0,3358,0,0,1,0,0,0,0,0,217,0,14,0,0,0,0,0,1,216,1,0,0,0,90,5,0,1,0,0,0,0,0,0,0,0,0,728,6
0,0,1,0,0,1458,0,0,1,0,0,0,0,0,275,0,22,0,0,0,0,0,1,275,1,0,0,0,250,50,1,0,0,0,0,0,0,0,0,0,0,300,0
0,0,1,0,0,1458,1,0,0,0,0,0,0,0,34,0,18,0,0,0,0,0,1,27,1,0,0,0,90,80,1,0,0,0,0,0,0,0,0,0,0,1000,3
0,0,1,0,0,3358,1,0,0,0,0,0,0,0,218,0,11,0,0,0,0,0,1,216,1,0,0,0,90,20,1,0,0,0,0,0,0,0,0,0,0,1000,4
1,0,0,0,0,2261,0,0,1,0,0,0,0,0,220,0,16,0,0,0,0,0,1,216,0,0,0,1,60,0,0,0,0,0,0,0,0,0,0,1,0,620,6
0,0,0,0,1,2997,0,0,0,0,0,0,1,0,250,0,21,1,0,0,0,0,0,238,0,0,0,1,50,12,0,0,0,0,0,1,0,0,0,0,0,320,4
0,0,1,0,0,3476,1,0,0,0,0,0,0,0,87,0,17,0,0,0,0,0,1,80,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,1
0,0,1,0,0,3386,1,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,1,3,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,3
0,0,1,0,0,3427,0,0,1,0,0,0,0,0,191,0,23,0,0,0,0,0,1,183,1,0,0,0,90,50,1,0,0,0,0,0,0,0,0,0,0,1000,4
1,0,0,0,0,2821,0,0,1,0,0,0,0,0,221,0,22,0,0,0,0,0,1,216,0,0,0,1,250,0,0,0,0,0,0,0,1,0,0,0,0,300,0
1,0,0,0,0,3386,0,0,1,0,0,0,0,0,222,0,18,0,0,0,0,0,1,216,0,1,0,0,250,0,0,1,0,0,0,0,0,0,0,0,0,300,5
0,0,1,0,0,2261,1,0,0,0,0,0,0,0,97,0,17,0,0,0,0,0,1,94,0,0,0,1,90,70,0,0,0,0,0,0,0,1,0,0,0,1000,3
0,0,1,0,0,3386,1,0,0,0,0,0,0,0,287,0,9,0,0,0,0,0,1,276,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,3
0,1,0,0,0,3358,1,0,0,0,0,0,0,0,9,0,18,0,0,0,0,0,1,3,1,0,0,0,90,103,1,0,0,0,0,0,0,0,0,0,0,728,2
0,0,1,0,0,3386,0,0,1,0,0,0,0,0,238,0,5,0,0,0,0,0,1,238,1,0,0,0,90,20,1,0,0,0,0,0,0,0,0,0,0,728,0
0,1,0,0,0,1458,1,0,0,0,0,0,0,0,318,0,13,0,0,0,0,0,1,308,1,0,0,0,90,5,0,0,1,0,0,0,0,0,0,0,0,728,0
0,1,0,0,0,1458,1,0,0,0,0,0,0,0,89,0,11,0,0,0,0,0,1,80,1,0,0,0,280,5,0,0,1,0,0,0,0,0,0,0,0,336,5
1,0,0,0,0,2261,0,0,1,0,0,0,0,0,213,0,11,0,0,0,0,0,1,201,0,0,0,1,250,0,0,0,0,0,0,0,0,0,0,0,1,250,4
1,0,0,0,0,3358,0,0,1,0,0,0,0,0,393,0,18,0,0,0,0,0,1,393,0,1,0,0,90,0,1,0,0,0,0,0,0,0,0,0,0,950,6
0,0,1,0,0,3427,0,0,1,0,0,0,0,0,160,0,16,0,0,0,0,0,1,146,1,0,0,0,250,10,1,0,0,0,0,0,0,0,0,0,0,300,0
0,1,0,0,0,3386,0,0,1,0,0,0,0,0,277,0,7,0,0,0,0,0,1,276,1,0,0,0,200,31,0,1,0,0,0,0,0,0,0,0,0,200,4
1,0,0,0,0,2259,0,0,1,0,0,0,0,0,220,0,9,0,0,0,0,0,1,216,0,0,0,1,90,0,0,0,0,0,0,1,0,0,0,0,0,728,1
1,0,0,0,0,3358,1,0,0,0,0,0,0,0,104,0,17,0,0,0,0,0,1,94,0,1,0,0,250,0,0,1,0,0,0,0,0,0,0,0,0,300,1
0,0,1,0,0,3476,1,0,0,0,0,0,0,0,221,0,16,0,0,0,0,0,1,216,1,0,0,0,90,50,1,0,0,0,0,0,0,0,0,0,0,1000,4
1,0,0,0,0,2821,0,0,1,0,0,0,0,0,96,0,20,0,0,0,0,0,1,94,0,0,0,1,250,0,0,0,0,0,0,0,1,0,0,0,0,300,0
0,1,0,0,0,3476,0,0,1,0,0,0,0,0,282,0,11,0,0,0,0,0,1,276,1,0,0,0,280,5,0,0,1,0,0,0,0,0,0,0,0,336,2
1,0,0,0,0,3358,0,0,0,0,0,0,1,0,217,0,22,1,0,0,0,0,0,216,0,0,1,0,250,0,0,1,0,0,0,0,0,0,0,0,0,300,3
1,0,0,0,0,3358,0,0,1,0,0,0,0,0,113,0,22,0,0,0,0,0,1,106,0,1,0,0,250,0,0,0,1,0,0,0,0,0,0,0,0,300,3
1,0,0,0,0,1458,0,0,1,0,0,0,0,0,226,0,15,0,0,0,0,0,1,216,0,1,0,0,90,0,0,0,1,0,0,0,0,0,0,0,0,728,5
0,0,1,0,0,1458,0,0,1,0,0,0,0,0,1,0,19,0,0,0,0,0,1,1,1,0,0,0,90,50,1,0,0,0,0,0,0,0,0,0,0,1000,5
0,1,0,0,0,1458,0,0,1,0,0,0,0,0,108,0,22,0,0,0,0,0,1,106,1,0,0,0,250,5,0,1,0,0,0,0,0,0,0,0,0,250,1
0,0,1,0,0,3386,0,0,1,0,0,0,0,0,231,0,6,0,0,0,0,0,1,216,1,0,0,0,90,80,1,0,0,0,0,0,0,0,0,0,0,1000,2
0,0,0,1,0,2821,0,0,1,0,0,0,0,0,85,0,11,0,0,0,0,0,1,80,0,0,0,1,250,0,0,0,0,0,0,0,0,0,0,1,0,300,1
1,0,0,0,0,3476,0,0,1,0,0,0,0,0,168,0,23,0,0,0,0,0,1,164,0,1,0,0,250,0,0,0,1,0,0,0,0,0,0,0,0,300,0
0,1,0,0,0,3427,0,0,1,0,0,0,0,0,2,0,19,0,0,0,0,0,1,2,1,0,0,0,90,5,0,0,1,0,0,0,0,0,0,0,0,728,1
0,0,1,0,0,3476,0,0,1,0,0,0,0,0,77,0,14,0,0,0,0,0,1,65,1,0,0,0,90,80,1,0,0,0,0,0,0,0,0,0,0,1000,2
0,0,1,0,0,3427,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,90,50,1,0,0,0,0,0,0,0,0,0,0,1000,5
0,1,0,0,0,2259,0,0,1,0,0,0,0,0,227,0,0,0,0,0,0,0,1,216,0,0,0,1,250,63,0,0,0,0,0,0,0,0,1,0,0,250,6
0,1,0,0,0,1458,1,0,0,0,0,0,0,0,149,0,11,0,0,0,0,0,1,146,1,0,0,0,60,5,0,1,0,0,0,0,0,0,0,0,0,468,5
0,1,0,0,0,3386,1,0,0,0,0,0,0,0,82,0,20,0,0,0,0,0,1,80,1,0,0,0,250,5,1,0,0,0,0,0,0,0,0,0,0,300,5
1,0,0,0,0,3358,0,0,1,0,0,0,0,0,275,0,10,0,0,0,0,0,1,275,0,1,0,0,250,0,0,1,0,0,0,0,0,0,0,0,0,300,5
0,0,1,0,0,3427,1,0,0,0,0,0,0,0,161,0,14,0,0,0,0,0,1,146,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,5
0,1,0,0,0,3358,0,0,1,0,0,0,0,0,345,0,0,0,0,0,0,0,1,344,1,0,0,0,90,5,0,0,1,0,0,0,0,0,0,0,0,728,6
1,0,0,0,0,3427,1,0,0,0,0,0,0,0,120,0,23,0,0,0,0,0,1,106,0,1,0,0,250,0,1,0,0,0,0,0,0,0,0,0,0,300,3
0,0,1,0,0,3427,0,0,1,0,0,0,0,0,152,0,12,0,0,0,0,0,1,146,1,0,0,0,90,70,1,0,0,0,0,0,0,0,0,0,0,1000,3
1,0,0,0,0,3358,0,0,1,0,0,0,0,0,83,0,22,0,0,0,0,0,1,80,0,1,0,0,280,0,0,0,1,0,0,0,0,0,0,0,0,336,3
0,1,0,0,0,1458,0,0,1,0,0,0,0,0,220,0,0,0,0,0,0,0,1,216,1,0,0,0,250,5,0,0,1,0,0,0,0,0,0,0,0,250,4
0,1,0,0,0,3427,0,0,1,0,0,0,0,0,219,0,22,0,0,0,0,0,1,216,1,0,0,0,600,5,1,0,0,0,0,0,0,0,0,0,0,120,6
1,0,0,0,0,2821,0,0,1,0,0,0,0,0,34,0,3,0,0,0,0,0,1,27,0,0,0,1,250,0,0,0,0,0,0,0,0,1,0,0,0,300,1
0,0,0,0,1,2997,0,0,0,0,0,0,1,0,289,0,17,1,0,0,0,0,0,276,0,0,0,1,50,42,0,0,0,0,0,1,0,0,0,0,0,320,2
0,1,0,0,0,1458,0,0,1,0,0,0,0,0,120,0,22,0,0,0,0,0,1,106,1,0,0,0,600,5,0,0,1,0,0,0,0,0,0,0,0,160,2
0,1,0,0,0,3476,0,0,1,0,0,0,0,0,58,0,13,0,0,0,0,0,1,55,1,0,0,0,250,5,0,1,0,0,0,0,0,0,0,0,0,300,4
0,0,1,0,0,1458,0,0,1,0,0,0,0,0,247,0,13,0,0,0,0,0,1,238,1,0,0,0,90,20,1,0,0,0,0,0,0,0,0,0,0,1000,5
0,1,0,0,0,1458,0,0,1,0,0,0,0,0,85,0,16,0,0,0,0,0,1,80,1,0,0,0,280,4,0,0,1,0,0,0,0,0,0,0,0,336,3
1,0,0,0,0,2821,0,0,1,0,0,0,0,0,95,0,20,0,0,0,0,0,1,94,0,0,0,1,250,0,0,0,0,0,0,0,0,1,0,0,0,300,0
1,0,0,0,0,3476,0,0,1,0,0,0,0,0,345,0,3,0,0,0,0,0,1,344,0,1,0,0,250,0,1,0,0,0,0,0,0,0,0,0,0,300,2
0,1,0,0,0,2261,0,0,1,0,0,0,0,0,234,0,13,0,0,0,0,0,1,216,0,0,0,1,250,5,0,0,0,0,0,0,0,0,1,0,0,250,4
1,0,0,0,0,3386,0,0,0,0,0,0,1,0,202,1,0,1,0,0,0,0,0,201,0,0,1,0,250,0,0,1,0,0,0,0,0,0,0,0,0,300,5
0,0,1,0,0,1458,1,0,0,0,0,0,0,0,309,0,2,0,0,0,0,0,1,308,1,0,0,0,90,80,1,0,0,0,0,0,0,0,0,0,0,1000,6
